SectionID,SlotIndex,SubjectIdx,TeacherIdx,ActivityType
SEC10,0,3,8,1
SEC10,1,7,16,0
SEC10,2,9,18,0
SEC10,3,9,18,0
SEC10,4,9,18,0
SEC10,5,9,18,0
SEC10,6,9,18,0
SEC10,7,9,18,0
SEC10,8,9,18,0
SEC10,9,9,18,0
SEC10,10,9,18,0
SEC10,11,9,18,0
SEC10,12,8,17,0
SEC10,13,7,16,0
SEC10,14,6,15,0
SEC10,15,3,8,1
SEC10,16,3,8,1
SEC10,17,3,8,1
SEC10,18,2,4,1
SEC10,19,2,4,1
SEC10,20,2,2,1
SEC10,21,1,1,1
SEC10,22,0,0,1
SEC10,23,0,0,1
SEC10,24,0,0,1
SEC10,25,0,0,1
SEC10,26,0,0,1
SEC10,27,0,0,1
SEC10,28,0,0,1
SEC10,29,0,0,1
SEC10,30,0,0,1
SEC10,31,0,0,1
SEC10,32,0,0,1
SEC10,33,0,0,1
SEC10,34,0,0,1
SEC10,35,0,0,1
SEC10,36,0,0,1
SEC10,37,0,0,1
SEC10,38,0,0,1
SEC10,39,0,0,1
SEC10,40,0,0,1
SEC10,41,0,0,1
SEC10,42,0,0,1
SEC10,43,0,0,1
SEC10,44,0,0,1
SEC10,45,0,0,1
SEC10,46,0,0,1
SEC10,47,0,0,1
SEC10,48,0,0,1
SEC10,49,0,0,1
SEC43,0,3,8,1
SEC43,1,7,16,0
SEC43,2,9,18,0
SEC43,3,9,18,0
SEC43,4,9,18,0
SEC43,5,9,18,0
SEC43,6,9,18,0
SEC43,7,9,18,0
SEC43,8,9,18,0
SEC43,9,9,18,0
SEC43,10,9,18,0
SEC43,11,9,18,0
SEC43,12,8,17,0
SEC43,13,7,16,0
SEC43,14,6,15,0
SEC43,15,3,8,1
SEC43,16,3,8,1
SEC43,17,3,8,1
SEC43,18,2,4,1
SEC43,19,2,4,1
SEC43,20,2,2,1
SEC43,21,1,1,1
SEC43,22,0,0,1
SEC43,23,0,0,1
SEC43,24,0,0,1
SEC43,25,0,0,1
SEC43,26,0,0,1
SEC43,27,0,0,1
SEC43,28,0,0,1
SEC43,29,0,0,1
SEC43,30,0,0,1
SEC43,31,0,0,1
SEC43,32,0,0,1
SEC43,33,0,0,1
SEC43,34,0,0,1
SEC43,35,0,0,1
SEC43,36,0,0,1
SEC43,37,0,0,1
SEC43,38,0,0,1
SEC43,39,0,0,1
SEC43,40,0,0,1
SEC43,41,0,0,1
SEC43,42,0,0,1
SEC43,43,0,0,1
SEC43,44,0,0,1
SEC43,45,0,0,1
SEC43,46,0,0,1
SEC43,47,0,0,1
SEC43,48,0,0,1
SEC43,49,0,0,1
SEC48,0,3,8,1
SEC48,1,7,16,0
SEC48,2,9,18,0
SEC48,3,9,18,0
SEC48,4,9,18,0
SEC48,5,9,18,0
SEC48,6,9,18,0
SEC48,7,9,18,0
SEC48,8,9,18,0
SEC48,9,9,18,0
SEC48,10,9,18,0
SEC48,11,9,18,0
SEC48,12,8,17,0
SEC48,13,7,16,0
SEC48,14,6,15,0
SEC48,15,3,8,1
SEC48,16,3,8,1
SEC48,17,3,8,1
